ABBREVIATION,CLASSIFICATION
NB,National Battlefield
NBS,National Battlefield Site
NHP,National Historical Park
NHS,National Historic Site
NHT,National Historic Trail
NL,National Lakeshore
NM,National Monument
Nmem,National Memorial
NMP,National Military Park
NP,National Park
Npres,National Preserve
NRA ,National Recreation Area
NRRA,National River and Recreation Area
NS ,National Seashore
NSR,National Scenic River
NST,National Scenic Trail 
WSR,Wild and Scenic River
ARD,Air Resource Division
BRMD,Biological Resources Management Division
GRD,Geologic Resource Division
NRID,Natural Resource Information Division
NRPC,Natural Resource Program Center
NRSS,Natural Resource Stewardship and Science Directorate
WRD,Water Resources Division
