ALPHACODE,PARKNAME
ABLI,Abraham Lincoln Birthplace NHS
ACAD,Acadia NP
ADAM,Adams National Historical Park
ADM,Administration
AGFO,Agate Fossil Beds NM
AKRO,Alaska Region
AKSO,Alaska Support Office
ALAG,Alagnak Wild River
ALFL,Alibates Flint Quarries NM
ALPO,Allegheny Portage Railroad NHS
AMIS,Amistad National Recreation Area
AMME,American Memorial Park
ANCH,Alaska Public Lands Info Ctr - Anchorage
ANDE,Andersonville NHS
ANIA,Aniakchak NM
ANIA,Aniakchak NPres
ANJO,Andrew Johnson NHS
ANTC,Antietam National Cemetery
ANTI,Antietam NB
APCO,Appomattox Court House NHP
APIS,Apostle Islands NL
APPA,Appalachian NST
APPA,Appalachian NST Land Acquisition FO
ARCH,Arches NP
ARHO,"Arlington House, The Robert E. Lee Mem"
ARPO,Arkansas Post NMem
ASIS,Assateague Island NS
AZRU,Aztec Ruins NM
BADL,Badlands NP
BAND,Bandelier NM
BAWA,Baltimore-Washington Parkway
BEFR,Benjamin Franklin NM
BELA,Bering Land Bridge Npres
BEOL,Bent's Old Fort NHS
BIBE,Big Bend NP
BICA,Bighorn Canyon NRA
BICY,Big Cypress Npres
BIHO,Big Hole NB
BISC,Biscayne NP
BISO,Big South Fork NRRA
BITH,Big Thicket National Preserve
BLAC,Blackstone River Valley National Heritage Corridor
BLCA,Black Canyon of the Gunnison NP
BLRI,Blue Ridge Parkway
BLUE,Bluestone NSR
BOAF,Boston African-American NHS
BOHA,Boston Harbor Islands NRA
BOSO,Boston Support Office
BOST,Boston NHP
BOWA,Booker T. Washington NM
BRCA,Bryce Canyon NP
BRCR,Brices Cross Roads NBS
BRVB,Brown v. Board of Education NHS
BUFF,Buffalo National River
BUIS,Buck Island Reef NM
CABR,Cabrillo NM
CACH,Canyon de Chelly NM
CACL,Castle Clinton NM
CACO,Cape Cod NS
CAGR,Casa Grande Ruins NM
CAHA,Cape Hatteras NS
CAKR,Cape Krusenstern NM
CALI,California NHT
CALO,Cape Lookout NS
CANA,Canaveral NS
CANY,Canyonlands NP
CARE,Capitol Reef NP
CARI,Cane River Creole NHP
CARL,Carl Sandburg Home NHS
CASA,Castillo de San Marcos NM
CATO,Catoctin Mountain Park
CAVE,Carlsbad Caverns NP
CAVO,Capulin Volcano NM
CCSO,Columbia Cascades Support Office
CEBR,Cedar Breaks NM
CHAM,Chamizal NMem
CHAT,Chattahoochee River NRA
CHCH,Chickamauga & Chattanooga NMP
CHCU,Chaco Culture NHP
CHIC,Chickasaw NRA
CHIR,Chiricahua NM
CHIS,Channel Islands NP
CHOH,Chesapeake & Ohio Canal NHP
CHPI,Charles Pinckney NHS
CHPO,Chicago Portage NHS
CHRI,Christiansted NHS
CIRO,City of Rocks N RES
CLBA,Clara Barton NHS
CMCO,Claude Moore Colonial Farm
CODA,Lake Roosevelt NRA
COLM,Colorado NM
COLO,Colonial NHP
CORO,Coronado NMem
COSW,Congaree Swamp NM
COWP,Cowpens NB
CRLA,Crater Lake NP
CRMO,Craters of the Moon NM
CRSPP,National Center for Cultural Resources 
CUGA,Cumberland Gap NHP
CUIS,Cumberland Island NS
CURE,Curecanti NRA
CUVA,Cuyahoga Valley NP
DAAV,Dayton Aviation Heritage NHP
DABE,David Berger NMEM
DELA,Delaware NSR
DELE,Delaware & Lehigh National Heritage Corridor
DENA,Denali NP
DENA,Denali NPres
DEPO,Devils Postpile National Monument
DESO,De Soto Nmem
DETO,Devils Tower NM
DEVA,Death Valley NP
DEWA,Delaware Water Gap NRA
DINO,Dinosaur NM
