ParkName,Rank,Value,PercentOfTotal
Golden Gate NRA,1,"15,002,227",4.58%
Blue Ridge PKWY,2,"14,976,085",4.57%
Great Smoky Mountains NP,3,"12,547,743",3.83%
Gateway NRA,4,"9,405,622",2.87%
Lincoln Memorial,5,"7,808,182",2.38%
Lake Mead NRA,6,"7,499,049",2.29%
George Washington MEM PKWY,7,"7,487,265",2.29%
Natchez Trace PKWY,8,"6,296,041",1.92%
Grand Canyon NP,9,"5,974,411",1.82%
Gulf Islands NS,10,"5,600,240",1.71%
Chesapeake & Ohio Canal NHP,11,"5,116,787",1.56%
World War II Memorial,12,"4,831,327",1.48%
Rocky Mountain NP,13,"4,670,053",1.43%
Vietnam Veterans MEM,14,"4,580,587",1.40%
Independence NHP,15,"4,532,459",1.38%
Zion NP,16,"4,488,268",1.37%
Yosemite NP,17,"4,422,861",1.35%
Castle Clinton NM,18,"4,361,034",1.33%
Glen Canyon NRA,19,"4,330,563",1.32%
Statue of Liberty NM,20,"4,240,461",1.29%
Cape Cod NS,21,"4,096,104",1.25%
Yellowstone NP,22,"4,020,288",1.23%
San Francisco Maritime NHP,23,"4,016,598",1.23%
Korean War Veterans Memorial,24,"3,841,633",1.17%
"Martin Luther King, Jr. Memorial",25,"3,667,562",1.12%
Acadia NP,26,"3,437,286",1.05%
Grand Teton NP,27,"3,405,614",1.04%
Chattahoochee River NRA,28,"3,393,133",1.04%
Delaware Water Gap NRA,29,"3,374,865",1.03%
Colonial NHP,30,"3,327,268",1.02%
Franklin Delano Roosevelt MEM,31,"3,303,573",1.01%
Olympic NP,32,"3,245,806",0.99%
Boston NHP,33,"3,201,834",0.98%
Thomas Jefferson MEM,34,"3,096,895",0.95%
Glacier NP,35,"3,049,839",0.93%
Joshua Tree NP,36,"2,988,547",0.91%
Kennesaw Mountain NBP,37,"2,621,050",0.80%
Cape Hatteras NS,38,"2,606,632",0.80%
Bryce Canyon NP,39,"2,594,904",0.79%
Rock Creek Park,40,"2,416,232",0.74%
Assateague Island NS,41,"2,344,536",0.72%
Point Reyes NS,42,"2,265,301",0.69%
Valley Forge NHP,43,"2,259,944",0.69%
Cuyahoga Valley NP,44,"2,237,997",0.68%
Indiana Dunes NP,45,"2,134,285",0.65%
Stonewall NM,46,"2,088,929",0.64%
Gateway Arch NP,47,"2,055,309",0.63%
Mount Rushmore NMEM,48,"1,963,540",0.60%
Canaveral NS,49,"1,884,122",0.58%
National Capital Parks Central,50,"1,770,794",0.54%
Death Valley NP,51,"1,740,945",0.53%
Pearl Harbor NMEM,52,"1,716,535",0.52%
Arches NP,53,"1,659,702",0.51%
Sleeping Bear Dunes NL,54,"1,570,001",0.48%
Mount Rainier NP,55,"1,501,621",0.46%
Hot Springs NP,56,"1,467,153",0.45%
"John D. Rockefeller, Jr. MEM PKWY",57,"1,426,666",0.44%
Shenandoah NP,58,"1,425,507",0.44%
Chickasaw NRA,59,"1,422,612",0.43%
Fort Point NHS,60,"1,421,349",0.43%
Hawaii Volcanoes NP,61,"1,368,376",0.42%
