city_ascii,state_id,county_fips,county_name,lat,lng,population,density,military,timezone,zips,id
South Creek,WA,53053,Pierce,46.9994,-122.3921,2500.0,125.0,False,America/Los_Angeles,98580 98387 98338,1840042075
Roslyn,WA,53037,Kittitas,47.2507,-121.0989,947.0,84.0,False,America/Los_Angeles,98941 98068 98925,1840019842
Sprague,WA,53043,Lincoln,47.3048,-117.9713,441.0,163.0,False,America/Los_Angeles,99032,1840021107
Gig Harbor,WA,53053,Pierce,47.3352,-122.5968,9507.0,622.0,False,America/Los_Angeles,98332 98335,1840019855
Lake Cassidy,WA,53061,Snohomish,48.0639,-122.092,3591.0,131.0,False,America/Los_Angeles,98223 98258 98270,1840041959
Tenino,WA,53067,Thurston,46.8537,-122.8607,1830.0,491.0,False,America/Los_Angeles,98589,1840021144
Jamestown,WA,53009,Clallam,48.1229,-123.0911,289.0,191.0,False,America/Los_Angeles,98382,1840037668
Three Lakes,WA,53061,Snohomish,47.942,-121.9924,3390.0,112.0,False,America/Los_Angeles,98290,1840018375
Curlew Lake,WA,53019,Ferry,48.7311,-118.6663,573.0,50.0,False,America/Los_Angeles,99166,1840043278
Chain Lake,WA,53061,Snohomish,47.9038,-121.9861,4280.0,156.0,False,America/Los_Angeles,98290,1840041915
Pateros,WA,53047,Okanogan,48.0536,-119.8994,701.0,536.0,False,America/Los_Angeles,98846,1840019763
Rosburg,WA,53069,Wahkiakum,46.3076,-123.6344,385.0,6.0,False,America/Los_Angeles,98643,1840023878
Parkland,WA,53053,Pierce,47.1417,-122.4376,37019.0,1653.0,False,America/Los_Angeles,98444 98445 98447 98448,1840018453
Birch Bay,WA,53073,Whatcom,48.923,-122.7543,8642.0,208.0,False,America/Los_Angeles,98230,1840017289
Ashford,WA,53053,Pierce,46.7537,-122.0113,162.0,30.0,False,America/Los_Angeles,98304,1840017363
Navy Yard City,WA,53035,Kitsap,47.5508,-122.6655,3154.0,1978.0,False,America/Los_Angeles,98312,1840018407
Omak,WA,53047,Okanogan,48.4228,-119.5159,8130.0,478.0,False,America/Los_Angeles,98841,1840019761
Farmington,WA,53075,Whitman,47.0887,-117.0464,154.0,164.0,False,America/Los_Angeles,99128,1840021140
Buckley,WA,53053,Pierce,47.1615,-122.02,4819.0,482.0,False,America/Los_Angeles,98321,1840018455
Cathcart,WA,53061,Snohomish,47.8525,-122.1058,2506.0,250.0,False,America/Los_Angeles,98296,1840017324
Poulsbo,WA,53035,Kitsap,47.7417,-122.6408,10670.0,869.0,False,America/Los_Angeles,98370,1840019822
Anacortes,WA,53057,Skagit,48.4878,-122.6292,17955.0,559.0,False,America/Los_Angeles,98221,1840018366
Maplewood,WA,53053,Pierce,47.3715,-122.5689,5340.0,248.0,False,America/Los_Angeles,98332,1840037569
Creston,WA,53043,Lincoln,47.7595,-118.52,226.0,212.0,False,America/Los_Angeles,99117,1840021109
Rockford,WA,53063,Spokane,47.4513,-117.1307,477.0,271.0,False,America/Los_Angeles,99030,1840021095
Wishram,WA,53039,Klickitat,45.6599,-120.9698,438.0,131.0,False,America/Los_Angeles,98673,1840018528
Centralia,WA,53041,Lewis,46.7225,-122.9695,41643.0,883.0,False,America/Los_Angeles,98531,1840018471
South Hill,WA,53053,Pierce,47.1203,-122.2848,56379.0,1185.0,False,America/Los_Angeles,98375 98374 98373,1840037886
Longview Heights,WA,53015,Cowlitz,46.1796,-122.9577,3678.0,337.0,False,America/Los_Angeles,98632,1840037874
Erlands Point-Kitsap Lake,WA,53035,Kitsap,47.5973,-122.7021,2973.0,655.0,False,America/Los_Angeles,98312,1840073915
Amboy,WA,53011,Clark,45.9122,-122.4795,2027.0,78.0,False,America/Los_Angeles,98601 98675,1840017396
St. John,WA,53075,Whitman,47.0915,-117.5887,561.0,322.0,False,America/Los_Angeles,99171,1840021139
Dallesport,WA,53039,Klickitat,45.6316,-121.1749,1739.0,99.0,False,America/Los_Angeles,98617 98635,1840018525
Ketron Island,WA,53053,Pierce,47.1569,-122.6343,0.0,0.0,False,America/Los_Angeles,98388,1840037558
Mesa,WA,53021,Franklin,46.5737,-119.0013,503.0,119.0,False,America/Los_Angeles,99326 99343,1840019887
Fife,WA,53053,Pierce,47.2328,-122.3518,10154.0,684.0,False,America/Los_Angeles,98424,1840019853
Moses Lake North,WA,53025,Grant,47.1949,-119.3186,3787.0,264.0,False,America/Los_Angeles,98837,1840074436
